epoch,lr,loss,iou,val_loss,val_iou,val_dice
0,0.0001,1.066833592200464,0.276525050215273,1.043617033958435,0.2945363989017519,0.4388588524397445
1,0.0001,0.9810033921123475,0.3719914336680551,0.9868680697221024,0.3384750490376402,0.4895465832505898
2,0.0001,0.93910597276318,0.4147151505856815,0.9669750351172228,0.387286745225037,0.5439349541716967
3,0.0001,0.918331943279089,0.425122080471109,0.96957027728741,0.3128144214790653,0.4606583820117639
4,0.0001,0.893263507721036,0.4360159619911425,0.9307421739284808,0.3921108800711606,0.5487200307205323
5,0.0001,0.8633870704229488,0.4672314412715626,0.9008489737143884,0.4539557202183131,0.6081458526434352
6,0.0001,0.8448972452518552,0.4640902759897045,0.9153107936565692,0.3716477313235614,0.5282460078246523
7,0.0001,0.8190161627392436,0.4732388390570471,0.8602187541814951,0.4244383693754287,0.577483494003415
8,0.0001,0.8011522769003876,0.4792929207524057,0.8670571620647723,0.418463812937008,0.575083018835055
9,0.0001,0.7753336004508559,0.5063018301190415,0.8155452865820665,0.4550676490021603,0.6093585481112443
10,0.0001,0.7628368626731311,0.4843429981427017,0.8158828102625333,0.432949330600777,0.5841494339128396
11,0.0001,0.7323803180872008,0.5314896266974303,0.7796782438571637,0.455952452879629,0.6099987050616825
12,0.0001,0.7256629698036253,0.4998674973173885,0.7351782917976379,0.531143075984865,0.6746425229460896
13,0.0001,0.7002883033696995,0.529892420998124,0.7098992292697613,0.5751630989944807,0.7160824824781236
14,0.0001,0.6831664623216142,0.5312838671298971,0.6578058893863972,0.5484930774228853,0.6902439726770839
15,0.0001,0.6576553841893987,0.5338798444764704,0.6430245312360617,0.5992375674931223,0.7323875183538762
16,0.0001,0.6440598724424377,0.5426036028846097,0.6670720224197094,0.5474041033947116,0.6875051596780224
17,0.0001,0.6256812173266744,0.5553680666208929,0.6288566997418037,0.5737257765717407,0.7120485120194642
18,0.0001,0.6036245249962622,0.5514343603862424,0.6186184076162485,0.548608319619112,0.6971143045574024
19,0.0001,0.5904162459133208,0.5516811705647058,0.5799529479100154,0.5990133849731251,0.7343145341034076
20,0.0001,0.5710716037325156,0.5601418303242269,0.5972527476457449,0.53669706387582,0.6825311038015012
21,0.0001,0.5649378440638845,0.5495381910883537,0.5528269964915056,0.5983322573428823,0.7373417901822004
22,0.0001,0.542286731938059,0.5547764531000752,0.6895704241899344,0.4146488308995027,0.5697358370135298
23,0.0001,0.523861905632093,0.573021889863804,0.5144207725158104,0.5990722468426234,0.7382081171495313
24,0.0001,0.5250729188438534,0.5527383062844516,0.5315599056390615,0.5561120346879525,0.6999054123724312
25,0.0001,0.5005053918260013,0.5658837899414229,0.4613485748951251,0.5996265748919855,0.7318602941507316
26,0.0001,0.4888450529917266,0.5770230287289188,0.5417824625968933,0.5708148479777773,0.7081836235859158
27,0.0001,0.4773420135873232,0.5679542140080338,0.4686624662234233,0.5990115100631962,0.7341295022491272
28,0.0001,0.4620463510816411,0.5814834113329722,0.470186069378486,0.5975377723897562,0.7336370756903737
29,0.0001,0.4793283079945764,0.5557611884652006,0.463082670706969,0.5701165965574072,0.7077189905024811
30,0.0001,0.436205791064011,0.5969298348978744,0.4236391395330429,0.6163416706446568,0.7531143062727604
31,0.0001,0.4370846903139306,0.5826323935627944,0.4538355286304767,0.5955776118504008,0.7331171104853194
32,0.0001,0.421536730125893,0.6015771384164917,0.558932939859537,0.4827048084478825,0.6328301025264921
33,0.0001,0.4194027326365774,0.5909525430598161,0.4060220337831057,0.6066131639128488,0.7382642787785602
34,0.0001,0.4047502585390741,0.6015708461044303,0.5296103330758902,0.5070143744727141,0.651291421298105
35,0.0001,0.4061199365429176,0.603170912553747,0.4023448925751906,0.6048200466447078,0.7433271000952378
36,0.0001,0.3937801180421844,0.6097214910505794,0.3737992596167784,0.6149635849889363,0.7463277792121964
37,0.0001,0.3672827784867249,0.6337669284911656,0.3869468542245718,0.604902928680709,0.7408601116457777
38,0.0001,0.3891098327183908,0.593188290334467,0.376879676259481,0.5999924028209692,0.7356231722904728
39,0.0001,0.3708024701868841,0.6242906367777268,0.3580148661365875,0.634271472214449,0.7609953755592287
40,0.0001,0.3742358445428138,0.6068801577487767,0.4100072697951243,0.5886955800183459,0.7236424706578908
41,0.0001,0.3451902313056842,0.648661992517151,0.3533783143529525,0.6433867627223862,0.7710899080262711
42,0.0001,0.3607628164134284,0.6186143003049175,0.3543425573752476,0.6305561054469258,0.7630405743986323
43,0.0001,0.337680260109347,0.6520695539512897,0.3825262794127831,0.590582699835663,0.7261677400978063
44,0.0001,0.3516671022818994,0.6275352096122843,0.3696340272059807,0.6129769481015437,0.7499112587558617
45,0.0001,0.3426668975473374,0.6474786063404342,0.3580624270897645,0.6293173870436055,0.7626998123907679
46,0.0001,0.3458766054159911,0.6364338059246687,0.3341023449714367,0.651639865380839,0.777672019987299
47,0.0001,0.3342101906043614,0.642268439453131,0.3285984276578976,0.6377269531976884,0.7671376505211521
48,0.0001,0.3249860163922458,0.6567536055432501,0.3778787952203017,0.5904340859790299,0.7175614938912861
49,0.0001,0.3176360003245893,0.6629773680991643,0.3244232306113609,0.6470334503489023,0.7709554297469078
50,0.0001,0.3135462619884069,0.6458999672266248,0.3110470884121381,0.6556303437320162,0.7812427716426957
51,0.0001,0.3158829727376154,0.6594406556257522,0.3159075276209758,0.6597561439506184,0.7869580608998641
52,0.0001,0.3390396019054014,0.6367624169018553,0.3651781171560287,0.6054801828604323,0.7387718108901123
53,0.0001,0.3192296658259954,0.6570772190284564,0.363371505187108,0.5848378947934518,0.7239133672180371
54,0.0001,0.3141742005597713,0.6500347886765241,0.3825429123181563,0.5827747299963171,0.7167415450165436
55,0.0001,0.3110354676149612,0.6606659054370104,0.3523686212989,0.627666435893292,0.7542268161024759
